block,T,first_hitting,seed,length,n_batches,genppl_agg,genppl_mean,genppl_std,entropy_agg,entropy_mean,nfe_mean,nfe_min,nfe_max,genlen_mean
16,4,false,1,1024,25,442.3178,452.0958,103.0764,5.244,5.244,246.68,240,252,945.12
16,6,false,1,1024,25,379.4416,398.7126,134.7616,5.5703,5.5703,342.56,335,347,996.84
16,8,false,1,1024,25,225.8554,239.5381,78.4432,5.4893,5.4893,424.76,412,438,1006.52
16,12,false,1,1024,25,114.5081,125.5022,65.3695,5.4147,5.4147,556.68,533,570,1014.4
16,16,false,1,1024,25,80.8167,84.8813,26.9532,5.4394,5.4394,643.36,628,656,1018.48
16,24,false,1,1024,25,56.8836,60.327,22.3431,5.4093,5.4093,747.84,732,775,1019.68
16,32,false,1,1024,25,44.1089,46.173,14.2894,5.355,5.355,809.2,794,822,1021.24
16,48,false,1,1024,25,42.3329,43.0551,7.9915,5.3931,5.3931,873.92,857,891,1020.64
16,64,false,1,1024,25,36.6391,37.8871,10.9678,5.3159,5.3159,910.36,894,935,1021.16
16,5000,true,1,1024,25,31.1763,32.0283,8.107,5.3116,5.3116,1023.0,1023,1023,1021.92
